FlightNumber,Date,BoosterVersion,LaunchSite,Latitude,Longitude,Outcome,Flights,GridFins,Reused,Legs,LandingPad,PayloadMass,Orbit
38,2017-09-07,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4990.0,LEO
39,2017-10-09,Falcon 9,VAFB SLC 4E,34.6327,-120.610827,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,9600.0,PO
40,2017-10-11,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5200.0,GTO
41,2017-10-30,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,3700.0,GTO
42,2017-12-15,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,2205.0,ISS
43,2017-12-23,Falcon 9,VAFB SLC 4E,34.6327,-120.610827,True Ocean,2,True,True,False,,9600.0,PO
44,2018-01-08,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,6104.959411764706,LEO
45,2018-01-31,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True Ocean,2,True,True,True,,4230.0,GTO
46,2018-03-06,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,None None,1,True,False,True,,6092.0,GTO
47,2018-03-30,Falcon 9,VAFB SLC 4E,34.6327,-120.610827,None None,2,True,True,True,,9600.0,PO
48,2018-04-02,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,None None,2,True,True,True,,2760.0,ISS
49,2018-04-18,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,350.0,HEO
50,2018-05-11,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,3750.0,GTO
51,2018-06-04,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,None None,2,False,True,False,,5383.85,GTO
52,2018-06-29,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,None None,2,False,True,False,,2410.0,ISS
53,2018-07-22,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,7076.0,GTO
54,2018-07-25,Falcon 9,VAFB SLC 4E,34.6327,-120.610827,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,9600.0,PO
55,2018-08-07,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5800.0,GTO
56,2018-09-10,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,7060.0,GTO
57,2018-10-08,Falcon 9,VAFB SLC 4E,34.6327,-120.610827,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,2800.0,SSO
58,2018-11-15,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3000.0,GTO
59,2018-12-03,Falcon 9,VAFB SLC 4E,34.6327,-120.610827,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,4000.0,SSO
60,2018-12-05,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,False RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,2573.0,ISS
61,2018-12-23,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,None None,1,False,False,False,,4400.0,MEO
62,2019-01-11,Falcon 9,VAFB SLC 4E,34.6327,-120.610827,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,9600.0,PO
63,2019-03-02,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,12259.0,ISS
64,2019-05-04,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2482.0,ISS
65,2019-05-24,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,13620.0,VLEO
66,2019-06-12,Falcon 9,VAFB SLC 4E,34.6327,-120.610827,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,1425.0,SSO
67,2019-07-25,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,2227.7,ISS
68,2019-08-06,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,None None,3,False,True,False,,6500.0,GTO
69,2019-11-11,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,15600.0,VLEO
70,2019-12-05,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5000.0,ISS
71,2019-12-17,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,6800.0,GTO
72,2020-01-07,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,15400.0,VLEO
73,2020-01-19,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,None None,4,False,True,False,,6104.959411764706,SO
74,2020-01-29,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,15600.0,VLEO
75,2020-02-17,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,False ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,15400.0,VLEO
76,2020-03-07,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,1977.0,ISS
77,2020-03-18,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,False ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,15600.0,VLEO
78,2020-04-22,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,15400.0,VLEO
79,2020-05-30,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,9525.0,ISS
80,2020-06-04,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,15400.0,VLEO
81,2020-06-13,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,15400.0,VLEO
82,2020-06-30,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3880.0,MEO
83,2020-07-20,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,6104.959411764706,GEO
84,2020-08-18,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,15400.0,VLEO
85,2020-08-30,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,1600.0,SSO
86,2020-09-03,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,15400.0,VLEO
87,2020-10-06,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,15400.0,VLEO
88,2020-10-18,Falcon 9,CCSFS SLC 40,28.56230197,-80.57735648,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,15400.0,VLEO
89,2020-10-24,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,15400.0,VLEO
90,2020-11-05,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,3681.0,MEO
